#SampleID	DNAPlate	Tube	AnimalID	Sex	Diet	Year	DMI_total_kg	days_fed	ADFI	gain_total	ADG	FE	perANS	perHHS	perARS	perSHS	perBMS	perBRS	perBNS	perSGS	perBVS	perCHS	perCAS	perGVS	perLMS	perMAS	perSAS	perSMS	perHH	perAN	perSM	perCH	perM2	perM3	perRS	perRO	Selected	Group
S231	1	39	133207	Steer	Finishing	2013	628.4	78	8.06	140	1.79	0.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.875	0.0625	0	0.0625	0	0	0	0	0	0	No	NA
S232	1	40	133722	Steer	Finishing	2013	846.3	78	10.85	167.7	2.15	0.198	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	No	NA
S233	1	41	133144	Steer	Finishing	2013	663.5	78	8.51	122.5	1.57	0.185	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	No	NA
S234	1	42	133113	Steer	Finishing	2013	708.4	78	9.08	139.3	1.79	0.197	0	0	0.125	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S235	1	43	133189	Steer	Finishing	2013	758.1	78	9.72	143.3	1.84	0.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0.25	0	0	0	0	No	NA
S236	1	44	133168	Steer	Finishing	2013	695.3	78	8.91	158	2.03	0.227	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	No	NA
S237	1	45	133434	Steer	Finishing	2013	687.9	78	8.82	142.7	1.83	0.207	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0	0	0	0	0.25	0	0	0	No	NA
S238	1	46	133374	Steer	Finishing	2013	805.3	78	10.32	155.9	2	0.194	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	No	NA
S239	1	47	133132	Steer	Finishing	2013	699.6	78	8.97	124.5	1.6	0.178	0	0	0.9375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	No	NA
S240	1	48	133176	Steer	Finishing	2013	693.5	78	8.89	139.4	1.79	0.201	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S241	1	49	133045	Steer	Finishing	2013	709.8	78	9.1	180	2.31	0.254	0	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0.125	0	0	Yes	BWGH-DMIL
S242	1	50	133150	Steer	Finishing	2013	901.5	78	11.56	177.3	2.27	0.197	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	No	NA
S243	1	51	133608	Steer	Finishing	2013	741.9	78	9.51	160.9	2.06	0.217	0	0.5	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	No	NA
S244	1	52	133367	Steer	Finishing	2013	906.4	78	11.62	150.7	1.93	0.166	0	0	0	0.25	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	No	NA
S245	1	53	133155	Steer	Finishing	2013	705.4	78	9.04	144.6	1.85	0.205	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	No	NA
S248	1	56	133134	Steer	Finishing	2013	726.8	78	9.32	131.3	1.68	0.181	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0.125	0	0	No	NA
S250	1	58	133205	Steer	Finishing	2013	766.2	78	9.82	156.6	2.01	0.204	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S251	1	59	133029	Steer	Finishing	2013	720.7	78	9.24	135.9	1.74	0.189	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	No	NA
S252	1	60	133030	Steer	Finishing	2013	809.3	78	10.38	163.7	2.1	0.202	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S253	1	61	133330	Steer	Finishing	2013	695.2	78	8.91	150.7	1.93	0.217	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	No	NA
S254	1	62	133390	Steer	Finishing	2013	935.8	78	12	205.4	2.63	0.219	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	Yes	BWGH-DMIH
S255	1	63	133005	Steer	Finishing	2013	633.1	78	8.12	128.8	1.65	0.203	0	0	0.5	0	0	0	0	0	0	0	0	0	0.125	0	0.25	0	0	0.125	0	0	0	0	0	0	No	NA
S256	1	64	133403	Steer	Finishing	2013	555.9	78	7.13	85.7	1.1	0.154	0	0	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.125	0	0	0	0	0	0	Yes	BWGL-DMIL
S257	1	65	133059	Steer	Finishing	2013	735.4	78	9.43	130.3	1.67	0.177	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S258	1	66	133435	Steer	Finishing	2013	687	78	8.81	136.1	1.74	0.198	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.25	0	0	No	NA
S259	1	67	133648	Steer	Finishing	2013	849.4	78	10.89	155.6	1.99	0.183	0.5	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	No	NA
S262	1	70	133073	Steer	Finishing	2013	772.6	78	9.91	158.9	2.04	0.206	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.25	0	0.25	0	0	0	0	0	No	NA
S263	1	71	133359	Steer	Finishing	2013	725.9	78	9.31	152.1	1.95	0.21	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	No	NA
S264	1	72	133404	Steer	Finishing	2013	738.2	78	9.46	122.6	1.57	0.166	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	No	NA
S265	1	73	133234	Steer	Finishing	2013	637.6	78	8.17	135.4	1.74	0.212	0	0.5	0	0	0	0	0	0	0	0	0.25	0.125	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S266	1	74	133007	Steer	Finishing	2013	786.9	78	10.09	172.1	2.21	0.219	0	0	0.125	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S267	1	75	133141	Steer	Finishing	2013	877.2	78	11.25	148.8	1.91	0.17	0.125	0	0.5	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	No	NA
S268	1	76	133650	Steer	Finishing	2013	721.4	78	9.25	156.8	2.01	0.217	0	0.5	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	No	NA
S269	1	77	133351	Steer	Finishing	2013	852.8	78	10.93	172.2	2.21	0.202	0.5	0.125	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S270	1	78	133062	Steer	Finishing	2013	830.2	78	10.64	136.9	1.76	0.165	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	No	NA
S271	1	79	133192	Steer	Finishing	2013	801.6	78	10.28	152.9	1.96	0.191	0	0.625	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S272	1	80	133384	Steer	Finishing	2013	801.4	78	10.27	142.1	1.82	0.177	0.625	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0.0625	0	0	Yes	BWGL-DMIH
S273	1	81	133408	Steer	Finishing	2013	795.8	78	10.2	159.4	2.04	0.2	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	No	NA
S275	1	83	133617	Steer	Finishing	2013	708.2	78	9.08	142.4	1.83	0.201	0	0.125	0	0	0	0	0	0	0	0	0.25	0.5	0	0	0	0	0	0	0	0	0	0.125	0	0	No	NA
S278	1	86	133036	Steer	Finishing	2013	903.3	78	11.58	174.5	2.24	0.193	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S279	1	87	133678	Steer	Finishing	2013	727.5	78	9.33	156.7	2.01	0.215	0	0.0625	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0.0625	0	0.0625	0	0	0	0.0625	0	0	No	NA
S280	1	88	133357	Steer	Finishing	2013	849.2	78	10.89	153.3	1.97	0.181	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	No	NA
S281	1	89	133120	Steer	Finishing	2013	636	78	8.15	124.1	1.59	0.195	0	0.5	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.25	0	0	0.125	0	0	0	0	Yes	BWGL-DMIL
S283	1	91	133173	Steer	Finishing	2013	827.5	78	10.61	137.4	1.76	0.166	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S284	1	92	133043	Steer	Finishing	2013	711.6	78	9.12	142.2	1.82	0.2	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	No	NA
S285	1	93	133364	Steer	Finishing	2013	864.1	78	11.08	172.4	2.21	0.2	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	No	NA
S287	1	95	133018	Steer	Finishing	2013	761.1	78	9.76	137.6	1.76	0.181	0.0625	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0.0625	0	0	0	0	0	0	No	NA
S288	1	96	133325	Steer	Finishing	2013	863.1	78	11.07	143.2	1.84	0.166	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	Yes	BWGL-DMIH
S289	6	1	81430	Heifer	Growing	2008	486.8	84	5.8	40.6	0.48	0.083	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.125	0	0.25	0	0	0	0	0	0	No	NA
S290	6	9	81392	Heifer	Growing	2008	733.9	84	8.74	83.5	0.99	0.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.25	0	0	0.25	0	0	No	NA
S293	6	33	81247	Heifer	Growing	2008	542.7	84	6.46	41.9	0.5	0.077	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	No	NA
S294	6	41	81331	Heifer	Growing	2008	637.6	84	7.59	72.9	0.87	0.114	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S295	6	49	81268	Heifer	Growing	2008	638.1	84	7.6	75.2	0.9	0.118	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	Yes	BWGH-DMIL
S296	6	57	81273	Heifer	Growing	2008	623.8	84	7.43	46	0.55	0.074	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S298	6	73	81339	Heifer	Growing	2008	568.8	84	6.77	43.9	0.52	0.077	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S299	6	81	81528	Heifer	Growing	2008	577.4	84	6.87	63.8	0.76	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0.25	0	0	No	NA
S300	6	89	81383	Heifer	Growing	2008	597.1	84	7.11	76.7	0.91	0.128	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S301	6	2	81290	Heifer	Growing	2008	842.5	84	10.03	78.8	0.94	0.094	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	No	NA
S302	6	10	81506	Heifer	Growing	2008	691	84	8.23	82.6	0.98	0.12	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	No	NA
S303	6	18	81453	Heifer	Growing	2008	711.8	84	8.47	83.4	0.99	0.117	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	Yes	BWGH-DMIH
S305	6	34	81298	Heifer	Growing	2008	568.4	84	6.77	55.3	0.66	0.097	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	No	NA
S306	6	42	81508	Heifer	Growing	2008	621.9	84	7.4	66.2	0.79	0.106	0	0	0.5	0	0	0	0	0	0	0	0	0.125	0	0	0	0.125	0.125	0	0	0	0	0.125	0	0	No	NA
S307	6	50	81369	Heifer	Growing	2008	583	84	6.94	63.5	0.76	0.109	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S308	6	58	81385	Heifer	Growing	2008	494.6	84	5.89	78.6	0.94	0.159	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	Yes	BWGH-DMIL
S309	6	66	81423	Heifer	Growing	2008	560.1	84	6.67	58.8	0.7	0.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	No	NA
S310	6	74	81514	Heifer	Growing	2008	595.7	84	7.09	55.4	0.66	0.093	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	No	NA
S311	6	82	81264	Heifer	Growing	2008	566	84	6.74	62	0.74	0.11	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S312	6	90	81377	Heifer	Growing	2008	578.6	84	6.89	73.2	0.87	0.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	No	NA
S313	6	3	81361	Heifer	Growing	2008	586.7	84	6.98	64.8	0.77	0.11	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	Yes	BWGH-DMIL
S314	6	11	81474	Heifer	Growing	2008	434	84	5.17	40.5	0.48	0.093	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	No	NA
S315	6	19	81494	Heifer	Growing	2008	635.4	84	7.56	76.6	0.91	0.121	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	No	NA
S316	6	27	81329	Heifer	Growing	2008	595	84	7.08	52.7	0.63	0.089	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S317	6	35	81291	Heifer	Growing	2008	454.9	84	5.42	29.9	0.36	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	No	NA
S318	6	43	81245	Heifer	Growing	2008	572.9	84	6.82	47	0.56	0.082	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	No	NA
S319	6	51	81265	Heifer	Growing	2008	603.4	84	7.18	54.8	0.65	0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	No	NA
S320	6	59	81276	Heifer	Growing	2008	586.6	84	6.98	58.9	0.7	0.1	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	No	NA
S322	6	75	81429	Heifer	Growing	2008	577.4	84	6.87	44.2	0.53	0.077	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	No	NA
S323	6	83	81363	Heifer	Growing	2008	660.1	84	7.86	83.5	0.99	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	No	NA
S326	6	12	81398	Heifer	Growing	2008	559.1	84	6.66	59.2	0.7	0.106	0	0.25	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.25	0	0	No	NA
S327	6	20	81409	Heifer	Growing	2008	650.7	84	7.75	51.4	0.61	0.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	No	NA
