#SampleID	DNAPlate	Tube	AnimalID	Sex	Diet	Year	DMI_total_kg	days_fed	ADFI	gain_total	ADG	FE	perANS	perHHS	perARS	perSHS	perBMS	perBRS	perBNS	perSGS	perBVS	perCHS	perCAS	perGVS	perLMS	perMAS	perSAS	perSMS	perHH	perAN	perSM	perCH	perM2	perM3	perRS	perRO	Selected	Group
S241	1	49	133045	Steer	Finishing	2013	709.8	78	9.1	180	2.31	0.254	0	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0.125	0	0	Yes	ADGH-ADFIL
S254	1	62	133390	Steer	Finishing	2013	935.8	78	12	205.4	2.63	0.219	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	Yes	ADGH-ADFIH
S256	1	64	133403	Steer	Finishing	2013	555.9	78	7.13	85.7	1.1	0.154	0	0	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.125	0	0	0	0	0	0	Yes	ADGL-ADFIL
S272	1	80	133384	Steer	Finishing	2013	801.4	78	10.27	142.1	1.82	0.177	0.625	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0.0625	0	0	Yes	ADGL-ADFIH
S281	1	89	133120	Steer	Finishing	2013	636	78	8.15	124.1	1.59	0.195	0	0.5	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.25	0	0	0.125	0	0	0	0	Yes	ADGL-ADFIL
S288	1	96	133325	Steer	Finishing	2013	863.1	78	11.07	143.2	1.84	0.166	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	Yes	ADGL-ADFIH
S295	6	49	81268	Heifer	Growing	2008	638.1	84	7.6	75.2	0.9	0.118	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	Yes	ADGH-ADFIL
S303	6	18	81453	Heifer	Growing	2008	711.8	84	8.47	83.4	0.99	0.117	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	Yes	ADGH-ADFIH
S308	6	58	81385	Heifer	Growing	2008	494.6	84	5.89	78.6	0.94	0.159	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	Yes	ADGH-ADFIL
S313	6	3	81361	Heifer	Growing	2008	586.7	84	6.98	64.8	0.77	0.11	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	Yes	ADGH-ADFIL
S346	6	77	81223	Heifer	Growing	2008	695.2	84	8.28	114.9	1.37	0.165	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	Yes	ADGH-ADFIH
S347	6	85	81391	Heifer	Growing	2008	499.9	84	5.95	23	0.27	0.046	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	Yes	ADGL-ADFIL
S357	6	70	81433	Heifer	Growing	2008	562.2	84	6.69	66.2	0.79	0.118	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	Yes	ADGH-ADFIL
S380	6	64	81233	Heifer	Growing	2008	640.5	84	7.63	93.5	1.11	0.146	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	Yes	ADGH-ADFIH
S382	6	80	81457	Heifer	Growing	2008	653.6	84	7.78	90	1.07	0.138	0	0.125	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.125	0	0.125	0	0	0	0.125	0	0	Yes	ADGH-ADFIH
S485	2	101	133181	Steer	Finishing	2013	511.8	78	6.56	107.3	1.38	0.21	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	Yes	ADGL-ADFIL
S486	2	102	133078	Steer	Finishing	2013	648.8	78	8.32	116.1	1.49	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0.25	0	0	0	0	0	Yes	ADGL-ADFIL
S497	2	113	133402	Steer	Finishing	2013	858	78	11	173.9	2.23	0.203	0	0	0.5	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	Yes	ADGH-ADFIH
S510	2	126	133096	Steer	Finishing	2013	719.3	78	9.22	119.8	1.54	0.167	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	Yes	ADGL-ADFIH
S512	2	128	133124	Steer	Finishing	2013	755.6	78	9.69	183.1	2.35	0.242	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.375	0	0	0	0	0	Yes	ADGH-ADFIH
S518	2	134	133337	Steer	Finishing	2013	697.6	78	8.94	177.2	2.27	0.254	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	Yes	ADGH-ADFIL
S524	2	140	133238	Steer	Finishing	2013	718.3	78	9.21	156.4	2.01	0.218	0.125	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	Yes	ADGH-ADFIL
S525	2	141	133452	Steer	Finishing	2013	793.1	78	10.17	121.5	1.56	0.153	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	Yes	ADGL-ADFIH
S527	2	143	133147	Steer	Finishing	2013	771.7	78	9.89	169.3	2.17	0.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9375	0	0	0.03125	0	0	0.03125	0	0	Yes	ADGH-ADFIH
S562	2	178	133110	Steer	Finishing	2013	709.9	78	9.1	170.8	2.19	0.241	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	Yes	ADGH-ADFIL
S567	2	183	81483	Heifer	Growing	2008	392.4	84	4.67	5.7	0.07	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	Yes	ADGL-ADFIL
S673	8	1	81531	Heifer	Growing	2008	397	84	4.73	16.1	0.19	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	Yes	ADGL-ADFIL
S680	8	10	81473	Heifer	Growing	2008	617.9	84	7.36	33.8	0.4	0.055	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0.25	0	0	0	0	0	0	Yes	ADGL-ADFIH
S694	8	28	81311	Heifer	Growing	2008	679.9	84	8.09	51.9	0.62	0.076	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	Yes	ADGL-ADFIH
S712	8	31	81277	Heifer	Growing	2008	633.8	84	7.55	39.1	0.47	0.062	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	Yes	ADGL-ADFIH
S713	8	39	81224	Heifer	Growing	2008	644.7	84	7.68	31.4	0.37	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	Yes	ADGL-ADFIH
S715	8	8	81480	Heifer	Growing	2008	433.4	84	5.16	10.4	0.12	0.024	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	Yes	ADGL-ADFIL
