OTUId	S535	S234	S312	S508	S514	S496	S245	S359	S523	S712	S688	S528	S708	S311	S255	S554	S376	S294	S679	S555	S539	S267	S714	S682	S367	S235	S377	S561	S557	S268	S258	S290	S319	S293	S519	S369	S296	S237	S301	S380	S481	S525	S500	S256	S379	S530	S242	S560	S382	S257	S484	S485	S488	S556	S240	S567	S303	S364	S713	S529	S697	S331	S550	S244	S520	S238	S352	S306	S536	S515	S689	S374	S370	S675	S499	S531	S545	S302	S248	S381	S366	S492	S308	S552	S699	S674	S709	S362	S680	S710	S673	S696	S239	S341	S358	S501	S541	S677	S351	S332	S502	S281	S263	S544	S280	S705	S711	S506	S305	S253	S250	S272	S313	S233	S345	S719	S328	S690	S353	S715	S503	S546	S717	S489	S716	S287	S538	S703	S537	S504	S348	S702	S491	S361	S307	S692	S704	S543	S278	S354	S569	S327	S526	S326	S318	S252	S283	S236	S259	S527	S344	S347	S548	S522	S269	S676	S693	S482	S346	S251	S317	S707	S681	S510	S350	S363	S486	S559	S284	S687	S509	S684	S375	S266	S231	S516	S542	S562	S285	S683	S295	S265	S568	S532	S685	S232	S493	S323	S254	S270	S498	S511	S279	S299	S309	S271	S322	S320	S338	S694	S495	S298	S517	S310	S701	S264	S558	S518	S566	S718	S686	S698	S372	S524	S483	S288	S243	S505	S273	S330	S241	S262	S706	S356	S494	S365	S289	S540	S512	S315	S487	S314	S355	S571	S316	S553	S534	S300	S533	S378	S490	S497	S360	S368	S678	S275	S691	S357	S700
54	16	0	204	0	4	30	32	189	0	68	173	14	124	150	0	0	157	202	42	34	0	931	137	126	170	1	127	1	0	6	0	175	205	161	0	96	574	166	135	242	0	1	0	2462	144	16	163	0	248	0	0	4	1	0	0	77	250	122	206	187	178	154	0	0	2	0	174	65	3	0	68	125	568	131	0	2	1	165	19	288	359	0	28	1	130	147	100	122	144	166	100	278	0	325	88	0	2	80	120	53	38	1	4	0	0	95	81	0	107	2	1	83	586	0	136	214	167	125	155	143	0	0	216	9	89	0	0	70	0	1	127	163	7	267	244	70	25	1	524	156	56	260	0	287	635	2	1	0	2	0	96	250	0	1	1	45	147	6	76	27	134	558	548	6	156	171	15	1	1	277	2	113	271	0	188	0	3	1	5	343	161	16	50	8	250	0	18	260	3	6	6	0	1	210	117	2	107	214	224	980	0	105	0	250	281	7	36	1	84	142	425	198	126	6	83	0	1	0	0	323	0	1	357	207	6	215	180	2	0	190	24	408	181	34	202	0	0	61	17	406	0	2	66	105	75	1	66	71	227
161	68	12	4	93	452	50	8	22	3	4	19	28	18	7	14	2	13	16	7	220	15	75	14	15	13	28	10	14	72	8	0	13	5	19	40	1	7	7	12	19	32	15	51	47	7	57	341	15	5	8	276	7	76	13	55	8	19	3	42	11	8	4	17	3	16	12	7	6	38	309	6	7	50	10	20	27	19	11	11	10	7	5	5	167	15	19	5	16	12	14	13	33	2	11	10	9	171	18	18	3	12	195	52	4	77	15	9	3	14	13	26	37	6	44	5	33	16	14	12	32	0	11	11	18	16	7	22	30	10	15	1	56	14	16	7	5	1	10	343	7	12	22	109	11	2	14	39	15	8	4	4	4	15	2	18	4	14	38	8	27	3	65	28	36	10	9	2	15	22	33	2	5	6	2	22	0	2	89	1	17	11	47	14	29	27	19	1	16	20	9	2	17	127	34	9	8	10	11	17	107	25	7	15	26	20	22	45	56	9	19	15	1	2	283	78	26	207	34	0	10	19	30	7	10	210	12	10	92	16	11	6	32	14	5	11	29	51	1	10	5	153	56	4	9	8	2	11	2	2
184	62	13	2	28	82	40	26	3	0	3	1	12	4	2	3	3	3	2	1	63	7	76	2	1	4	31	0	4	25	151	2	2	2	0	10	1	3	86	3	7	15	29	37	139	0	30	15	30	6	3	3	35	9	6	1	4	3	0	11	23	3	1	12	2	146	10	2	0	22	50	3	0	18	0	8	23	41	1	5	1	2	6	0	12	2	0	3	0	0	0	2	2	6	3	1	5	10	2	4	0	30	33	33	4	6	0	1	55	0	23	14	173	0	32	1	3	0	1	0	2	1	4	1	47	1	46	1	2	16	19	2	7	1	4	1	2	0	46	119	2	4	2	46	1	0	10	6	9	41	4	2	0	7	8	3	0	0	59	0	56	1	10	2	118	2	2	0	15	46	6	4	2	2	3	80	6	5	17	1	1	1	58	0	66	1	20	38	1	2	9	5	45	26	2	2	10	0	1	4	13	7	0	18	6	2	59	2	73	9	2	5	7	2	195	2	13	15	11	25	3	7	13	0	1	352	4	1	114	19	1	2	0	3	0	1	58	8	0	45	1	54	31	2	4	2	1	4	3	0
56	1106	0	4	0	0	0	0	1	0	0	3	782	0	0	1	0	0	0	0	0	0	26	3	0	0	21	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	472	1	0	0	0	1472	0	0	0	1	0	0	0	10	0	0	18	0	137	0	0	0	1	0	0	0	0	0	0	13	494	1	0	0	5	0	0	0	0	2	15	0	0	0	18	33	0	1	1	0	3	0	0	0	5275	0	45	0	0	0	0	1	0	517	0	921	0	0	1	0	0	0	0	0	0	0	0	62	0	0	0	0	0	186	0	0	0	0	0	0	0	0	1	0	0	2	7	0	7	3	1	0	178	0	0	0	0	1	0	0	0	0	0	396	0	22	0	0	0	0	0	234	0	0	0	0	0	0	229	0	0	0	0	0	1	0	10	108	1	2	1034	0	0	0	0	16	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1502	0	0	2	3	27	0	0	1	0	0	49	0	0	0	0	1	0	5	15	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5	875	6	964	1	102	331	751	833	1	1493	967	1080	900	419	3055	0	1238	958	235	2639	1	248	830	841	694	2613	777	7	372	8	0	873	624	1084	0	672	1483	4824	731	1025	0	53	601	1371	586	119	3395	117	1064	3	18	31	0	0	3	965	711	901	1356	123	1382	491	10	21	125	12	876	363	97	136	897	869	3473	1303	8	48	51	1196	778	1243	1495	31	227	6	930	1041	978	1070	746	571	564	3459	0	990	595	0	188	352	1171	506	625	12	1645	0	25	664	594	19	654	6020	72	1787	1553	0	656	541	1341	1029	705	520	0	5	851	14	538	62	67	796	10	31	736	2163	43	1467	643	448	347	109	891	538	420	1428	5	990	1264	95	236	8	240	0	661	485	0	1	9	127	961	240	354	2709	441	4629	2232	59	743	725	1	33	193	1217	4	634	910	1	3239	2	11	2	291	1262	1069	65	391	124	2459	8	23	670	11	3	32	63	226	1120	555	135	587	639	1836	5143	4	485	1	825	2717	818	241	85	869	986	966	1590	338	1777	137	291	14	582	10	732	2	0	2742	602	650	2367	1608	44	162	733	346	1585	1015	377	806	164	44	473	437	2075	57	226	421	655	439	0	880	558	1025
65	1494	0	0	18	10	22	318	0	0	0	0	146	0	3	528	0	0	0	0	181	1	258	0	0	0	1039	0	1	5	0	0	0	0	0	1	0	0	231	0	0	0	7	12	687	0	9	476	0	0	0	18	63	0	0	7	0	0	0	0	58	0	0	0	0	199	0	0	0	4	32	0	0	0	0	0	7	24	0	231	0	0	3	0	19	0	0	0	0	0	0	0	0	0	0	0	1	284	0	0	0	334	0	693	0	1	0	0	23	0	27	1	902	0	0	0	0	0	0	0	0	0	0	0	0	0	42	1	0	4	8	0	0	30	0	0	0	0	22	257	0	0	0	0	0	0	10	10	19	0	0	0	0	3	14	1	0	0	69	0	83	0	0	0	1071	0	0	47	13	94	0	0	0	0	0	1367	0	5	0	13	0	0	12	0	41	0	0	53	0	0	4	39	1	57	0	0	91	0	0	0	0	5	0	0	0	0	8	366	37	0	0	0	0	0	2117	119	14	2	7	0	0	0	1	0	0	688	0	0	113	3	0	20	0	0	0	0	65	5	0	2	0	2	3	0	0	0	0	0	0	0
67	840	10	14	318	101	37	100	0	5	17	156	32	68	12	5	159	3	1	10	186	304	41	27	50	1	20	1	119	32	376	0	2	1	0	1006	17	20	17	0	0	1	380	471	1329	18	55	157	714	98	297	117	51	20	109	8	44	3	10	1	11	7	11	739	54	162	45	2	0	185	204	6	2	83	52	440	89	25	191	8	180	6	46	1	248	40	364	21	64	40	45	86	80	30	188	25	396	186	20	0	22	21	85	2	148	211	34	0	14	0	113	328	300	1	94	56	68	353	80	5	4	131	6	13	89	23	69	14	2	185	137	0	371	15	6	170	9	96	84	58	14	0	21	377	9	56	31	45	406	25	13	0	76	264	57	111	20	271	210	2	9	14	1152	38	11	1	0	2	46	2	41	18	36	132	1	93	3	130	2015	6	120	0	527	180	329	185	598	16	22	44	31	2	145	3	0	45	98	0	0	221	622	80	66	220	0	66	130	26	753	1	15	68	3	27	1684	9	3	493	216	11	11	12	45	5	3	170	12	21	71	159	0	75	53	195	11	27	6	21	0	48	52	244	258	0	1	12	0	224	20	36
204	20	23	6	9	12	125	13	11	0	2	39	17	2	3	1	18	17	6	7	40	25	37	3	8	2	25	10	8	36	26	0	2	1	8	8	3	15	26	9	2	4	19	10	32	6	10	54	21	2	19	7	44	5	4	2	4	2	4	19	14	21	0	43	13	26	0	6	2	28	20	9	5	74	10	4	32	28	8	6	32	7	2	4	108	13	18	1	5	10	13	8	13	7	11	2	0	11	3	30	4	2	8	45	0	18	9	12	0	7	7	17	48	10	4	1	3	10	2	2	14	0	2	15	2	15	14	0	3	6	26	3	25	10	10	3	5	5	59	11	6	12	34	25	6	3	0	41	11	104	0	6	7	18	8	5	3	20	95	4	37	5	102	21	182	6	3	1	37	30	23	1	6	9	0	0	0	5	54	0	9	10	60	9	90	46	4	13	7	10	13	8	9	33	5	3	1	3	5	5	62	4	7	31	10	29	31	40	49	5	3	13	4	6	30	78	36	35	12	28	8	6	3	5	5	13	7	2	37	13	7	1	23	7	7	9	77	5	0	0	11	23	22	3	3	11	0	18	0	0
688	2	0	0	4	26	2	1	0	0	0	0	1	0	0	0	0	0	0	0	8	1	4	0	0	0	2	0	0	0	55	0	0	0	0	17	0	0	2	0	0	0	0	3	37	0	4	26	1	0	0	0	7	0	0	4	0	0	0	0	1	0	0	17	0	0	1	0	0	0	15	0	0	0	0	2	0	3	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	4	0	0	0	0	2	0	2	19	4	0	1	0	0	0	0	0	0	3	11	0	0	0	0	8	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	14	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	25	0	19	9	0	0	0	5	0	1	0	2	0	0	4	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	3	1	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	30	2	0	0	0	0	0	0	0
51	84	9	1	67	364	490	8	3	0	0	0	129	2	0	132	11	4	2	0	82	26	221	2	0	2	2881	1	77	300	478	1	5	0	2	8	0	2	244	0	2	1	266	97	21	2	140	688	202	0	33	22	162	9	177	52	5	3	0	5	865	0	1	82	7	496	5	1	1	132	65	0	1	24	6	14	109	86	5	59	2	0	0	0	122	4	4	0	1	4	2	5	4	7	4	2	0	77	3	4	0	3	51	574	0	131	3	5	18	0	280	67	344	2	1	0	5	1	2	1	1	7	42	6	40	4	166	182	0	24	99	0	2	18	2	4	5	0	102	695	3	1	4	76	1	4	29	220	78	44	1	0	2	4	17	18	0	1	239	1	47	1	7	6	449	1	1	1	106	1472	29	11	0	1	0	820	0	54	243	1	4	2	66	1	127	7	221	54	0	59	27	39	46	336	0	0	82	1	1	2	31	0	0	6	1	22	140	194	180	4	0	3	0	0	320	28	344	54	16	48	2	1	12	2	1	117	3	5	663	81	0	8	2	4	3	2	240	132	1	0	1	175	5	0	0	1	0	2	0	1
