SRR5291986_1.fastq	231_S231_L001_R1_001.fastq
SRR5291986_2.fastq	231_S231_L001_R2_001.fastq
SRR5291985_1.fastq	232_S232_L001_R1_001.fastq
SRR5291985_2.fastq	232_S232_L001_R2_001.fastq
SRR5291984_1.fastq	233_S233_L001_R1_001.fastq
SRR5291984_2.fastq	233_S233_L001_R2_001.fastq
SRR5291983_1.fastq	234_S234_L001_R1_001.fastq
SRR5291983_2.fastq	234_S234_L001_R2_001.fastq
SRR5291982_1.fastq	235_S235_L001_R1_001.fastq
SRR5291982_2.fastq	235_S235_L001_R2_001.fastq
SRR5291981_1.fastq	236_S236_L001_R1_001.fastq
SRR5291981_2.fastq	236_S236_L001_R2_001.fastq
SRR5291980_1.fastq	237_S237_L001_R1_001.fastq
SRR5291980_2.fastq	237_S237_L001_R2_001.fastq
SRR5291979_1.fastq	238_S238_L001_R1_001.fastq
SRR5291979_2.fastq	238_S238_L001_R2_001.fastq
SRR5291978_1.fastq	239_S239_L001_R1_001.fastq
SRR5291978_2.fastq	239_S239_L001_R2_001.fastq
SRR5291977_1.fastq	240_S240_L001_R1_001.fastq
SRR5291977_2.fastq	240_S240_L001_R2_001.fastq
SRR5291976_1.fastq	241_S241_L001_R1_001.fastq
SRR5291976_2.fastq	241_S241_L001_R2_001.fastq
SRR5291975_1.fastq	242_S242_L001_R1_001.fastq
SRR5291975_2.fastq	242_S242_L001_R2_001.fastq
SRR5291974_1.fastq	243_S243_L001_R1_001.fastq
SRR5291974_2.fastq	243_S243_L001_R2_001.fastq
SRR5291973_1.fastq	244_S244_L001_R1_001.fastq
SRR5291973_2.fastq	244_S244_L001_R2_001.fastq
SRR5291972_1.fastq	245_S245_L001_R1_001.fastq
SRR5291972_2.fastq	245_S245_L001_R2_001.fastq
SRR5291971_1.fastq	248_S248_L001_R1_001.fastq
SRR5291971_2.fastq	248_S248_L001_R2_001.fastq
SRR5291970_1.fastq	250_S250_L001_R1_001.fastq
SRR5291970_2.fastq	250_S250_L001_R2_001.fastq
SRR5291969_1.fastq	251_S251_L001_R1_001.fastq
SRR5291969_2.fastq	251_S251_L001_R2_001.fastq
SRR5291968_1.fastq	252_S252_L001_R1_001.fastq
SRR5291968_2.fastq	252_S252_L001_R2_001.fastq
SRR5291967_1.fastq	253_S253_L001_R1_001.fastq
SRR5291967_2.fastq	253_S253_L001_R2_001.fastq
SRR5291966_1.fastq	254_S254_L001_R1_001.fastq
SRR5291966_2.fastq	254_S254_L001_R2_001.fastq
SRR5291965_1.fastq	255_S255_L001_R1_001.fastq
SRR5291965_2.fastq	255_S255_L001_R2_001.fastq
SRR5291964_1.fastq	256_S256_L001_R1_001.fastq
SRR5291964_2.fastq	256_S256_L001_R2_001.fastq
SRR5291963_1.fastq	257_S257_L001_R1_001.fastq
SRR5291963_2.fastq	257_S257_L001_R2_001.fastq
SRR5291962_1.fastq	258_S258_L001_R1_001.fastq
SRR5291962_2.fastq	258_S258_L001_R2_001.fastq
SRR5291961_1.fastq	259_S259_L001_R1_001.fastq
SRR5291961_2.fastq	259_S259_L001_R2_001.fastq
SRR5291960_1.fastq	262_S262_L001_R1_001.fastq
